token	apariciones	ejemplos (Strong: definición)
padre	27	G4986: Sopater. De seguro padre; Sopatrus, Cristiano || G540: Sin padre. Fatherless, es decir, de unrecorded paternity || G3995: Suegro. Wife's padre
abraham	27	G11: Abraham, Hebreo patriarca || G2291: Que fué de Thara. Thara (es decir, Terach), padre de Abraham || G2464: Isaac (es decir, Jitschak), hijo de Abraham
ave	26	G4071: Aves. Flying animal, es decir, ave || G3733: Gallina. Ave (como salida en aire), es decir, (especialmente), hen (o femenino domestic fowl) || G4421: Aves. Ave
valor	24	G3546: Moneda. Qué es reckoned como de valor (después de Latín numisma), es decir, corriente moneda || G4550: Malo. Rotten, es decir, sin valor (literalmente o moralmente) || G3641: Poco. Puny (en extensión, grado, número, duration o valor); especialmente neutro (adverbialmente) somewhat
carne	24	G4983: Carne. Cuerpo (como sonido entero), usado en muy amplio aplicación, literal o figurativamente || G2907: Carne. (butcher's) meat || G4560: Carne. Semejante a carne, es decir, (por analogía) soft
clamor	24	G2360: Os turbéis. Clamor, es decir, (por implicación) a frighten || G2799: Lloró. Sob, es decir, wail en voz alta (mientras que 1145 es más bien a clamor silently) || G2350: Alborotáis. Ser en tumulto, es decir, perturbar, clamor
sol	23	G1424: Poniente. Sol-poner, es decir, (por implicación) western región || G3722: Mañana. Alba (como sol-levantarse, salida de luz); por extensión, morn || G2246: Sol. Quizá afín a alternativo de G138 (αἱρέομαι)); sol; por implicación, luz
verde	21	G4665: Esmeralda. Emerald o verde gema así llamado || G5515: Verde. Greenish, es decir, verdant, dun-coloreado || G5514: Cloé. "verde"; Chloë, Cristiano femenino
imagen	20	G1496: Idólatra. Imagen- (siervo o) worshipper (literal o figurativamente) || G1504: Imagen. Likeness, es decir, (literalmente) statue, profile, o (figurativamente) representation, semejanza || G3447: Hicieron un becerro. Fabricate imagen de bullock
superior	20	G4320: Sube. Ascender farther, es decir, ser promoted (tomar superior (más honorable) asiento) || G511: Arriba. Superior, es decir, (neutro como adverbio) a más conspicuo lugar, en former parte de libro || G508: Cenáculo. Encima de suelo, es decir, (propiamente) segundo suelo de edificio; usado para dome o balcony en superior relato
boca	19	G4750: Filo. Boca (como si gash en rostro); por implicación, lengua (y su relations); figurativamente, abertura (en tierra); especialmente, frente o filo (de weapon) || G1993: Tapar. Poner algo sobre boca, es decir, (figurativamente) a silencio || G875: Echa espumarajos. Froth en boca (en epilepsy)
sal	19	G1099: Dulce. Dulce (es decir, no amargo nor sal) || G217: Sal; figurativamente, prudence || G251: Con sal. "sal"
arabia	19	G3099: Madián. Madian (es decir, Midian), región de Arabia || G688: Arabia, región de Asia || G4614: Sina (es decir, Sinai), monte en Arabia
camino	19	G5410: Forum o market-lugar; solo en comparativo con G675 (Ἄππιος); puesto en Appian camino || G3938: Camino. Por-camino, es decir, (activamente) route || G3938: Camino. Por-camino, es decir, (activamente) route
alba	19	G4407: Mañana. Perteneciente a alba, es decir, matutinal || G827: Alba. Ray de luz, es decir, (por implicación) radiance, alba || G827: Alba. Ray de luz, es decir, (por implicación) radiance, alba
fiesta	18	G1456: Fiesta de la dedicación. Innovatives, es decir, (especialmente) renewal (de religiosa services después de Antiochian interruption) || G1859: Fiesta. Fiesta || G1859: Fiesta. Fiesta
aficionado	18	G5386: Filósofos. Aficionado de wise cosas, es decir, a "philosopher" || G5368: Amo. Ser amigo a (aficionado de (individuo o objeto)), es decir, tener afecto para (denotando personal attachment, como asunto de sentiment o sentimiento; mientras G25 (ἀγαπάω) es wider, embracing especialmente judgment y … || G5362: Amen á sus maridos. Aficionado de hombre, es decir, afectoate como esposa
corona	18	G4725: Guirnaldas. Corona para mostrar || G4737: Corona. Adorn con honorary corona (literal o figurativamente) || G4737: Corona. Adorn con honorary corona (literal o figurativamente)
pan	17	G740: Pan. Pan (como raised) o loaf || G740: Pan. Pan (como raised) o loaf || G5596: Pan. Crumb o morsel (como si rubbed fuera), es decir, mouthful
pies	17	G4158: Ropa que llegaba hasta los pies. Vestir (G2066 (ἐσθής) implícito) reaching ankles || G3977: Llano. Nivel (como easy para pies) || G3538: Lavé. Limpiar (especialmente manos o pies o rostro); ceremonialmente, a perform ablution
inferior	16	G2274: Vencido. Hacer peor, es decir, vencer (literal o figurativamente); por implicación, a tasar inferior || G5302: Faltó. Ser later, es decir, (por implicación) a ser inferior; en general, a caer corto (ser deficient) || G2507: Quitó. Inferior (o con violencia) demolish (literal o figurativamente)
paso	16	G968: Tribunal. Paso, es decir, pie-aliento; por implicación, rostrum, es decir, tribunal || G4748: Vamos. March en (militar) rango (guardar paso), es decir, (figurativamente) a conform a virtud y piedad || G898: Buen grado. Paso, es decir, (figurativamente) grade (de dignidad)
don	16	G1431: Don. Gratuity || G1394: Dar. Giving; por implicación, (en concreto) don || G1435: Don. Presente; especialmente, sacrificio
fresco	16	G4372: Nuevo. Previamente (recently) slain (fresco), es decir, (figurativamente) lately hecho || G839: Mañana. Propiamente, fresco, es decir, (adverbio con ellipsis de G2250 (ἡμέρα)) to-morrow || G739: Perfecto. Fresco, es decir, (por implicación) completar
guardia	15	G2892: Guardia. "custody", es decir, Romano sentry || G5083: Guarda. Quizá afín a G2334 (θεωρέω)); a guardia (de pérdida o injury, propiamente, por keeping ojo sobre; y así diferente de G5442 (φυλάσσω), el cual es propiamente a prevent escaping; y de G2892 (κουστωδία), el cual por implicación… || G5440: Filacterias. Guardia-caso, es decir, "phylactery" para wearing slips de Scripture texts
palo	15	G3586: Árbol. Timber (como fuel o material); por implicación, palo, club o árbol o otro wooden artículo o substance || G4625: Caída. Trap-palo (bent sapling), es decir, snare (figurativamente, causar de displeasure o sin) || G4463: Azotar. Golpear con palo, es decir, bastinado
placer	15	G1658: Libre. Unrestrained (to ir en placer), es decir, (como citizen) no esclavo (si freeborn o manumitted), o (genitivo caso) exempt (de obligación o liability) || G5369: Amadores de los deleites. Aficionado de placer, es decir, voluptuous || G780: Buena voluntad. Con placer
arroyo	15	G5493: Arroyo. Tormenta-runlet, es decir, invierno-torrent || G4216: Arrebatada del río. Río-borne, es decir, overwhelmed por arroyo || H180: Río. Arroyo
ben	15	H1122: Ben, un israelita || H1125: Ben-Abinadab, un israelita || H1126: Benoni. Ben-Oni, original nombre de Benjamin
amigo	14	G5368: Amo. Ser amigo a (aficionado de (individuo o objeto)), es decir, tener afecto para (denotando personal attachment, como asunto de sentiment o sentimiento; mientras G25 (ἀγαπάω) es wider, embracing especialmente judgment y … || G2083: Amigo. Comrade || G1247: Servía. Ser attendant, es decir, esperar sobre (menially o como host, amigo, o (figurativamente) maestro); técnicamente, a acto como Cristiano deacon
oh	13	G5614: Oh save!; hosanna (es decir, hoshia-na), exclamación de adoration || G5599: Oh. Como sign de vocative caso, O; como nota de exclamación, oh || G5599: Oh. Como sign de vocative caso, O; como nota de exclamación, oh
gloria	13	G2811: Gloria. Renown (como si siendo llamado) || G2746: Gloria. Boasting (propiamente, acto; por implicación, objeto), en bueno o malo sentido || G2755: Codiciosos de vana gloria. Vainly glorifying, es decir, sí mismo-conceited
especial	13	G5487: Nos hizo. Grace, es decir, indue con especial honor || G1885: Provincia. Especial región de government, es decir, Romano præfecture || G911: Moje. Whelm, es decir, cubrir del todo con fluid; en Nuevo Testament solo en calificado o especial sentido, es decir, (literalmente) a moisten (parte de propio persona), o (por implicación) a stain (como con dye)
david	13	G1138: Dabid (es decir, David), Israelita rey || G4672: Salomón. Solomon (es decir, Shelomoh), hijo de David || H37: Abital, esposa de Rey David
oriental	13	G4683: Envuelto. De derivative de base de G4682 (σπαράσσω) significado a strap o envolver con strips); a swathe (infant después de Oriental custom) || G5009: Cámara. Afín a, a cortar); dispensary o magazine, es decir, chamber en suelo-suelo o interior de Oriental casa (en general usado para storage o privacy, mancha para retirement) || G3097: Magos. Magian, es decir, Oriental scientist; por implicación, magician
hay	13	G579: Hay que desechar. Echar fuera, es decir, (figurativamente) tal como a ser rejected || G5072: Hay cuatro. Cuatro months' espacio || H383: Hay. Propiamente, entity; usado solo como apartículo de affirmation, allí es
ham	13	H1023: Beth-ham-Merchak, lugar en Palestina || H1024: Beth-marchâboth. Beth-ham-Markaboth o Beth-Markaboth, lugar en Palestina || H1990: En Ham. Ham, región de Palestina
rico	12	G4147: Rico. Ser (o llegar ser) wealthy (literal o figurativamente) || G4145: Rico. Wealthy; figurativamente, abounding con || H1879: Vigorosos. Grasa; figurativamente, rico, fertile
ti	11	G4671: Ti. Thee || G4572: Ti. De (con, to) thyself || G4571: Ti. Thee
satan	11	G623: Apollyon. Destroyer (es decir, Satan) || G3789: Serpiente. Snake, figurativamente, (como type de sly cunning) artful malicious persona, especialmente Satan || G4566: Satanás. Satan, es decir, devil
han	11	G3926: Han de ser inquietados. Harass además, es decir, annoy || G4293: Han anunciado. Anounce beforehand, es decir, predict, promise || G5433: Han bramado. Snort (como spirited caballo), es decir, (figurativamente) a hacer tumulto
abel	11	G6: Abel, hijo de Adam || H59: Piedra. Abel, nombre de dos lugares en Palestina. || H62: Abel de Beth-maakah, lugar en Palestina
mover	11	G4787: Conmovieron. Mover junto, es decir, (especialmente), a excite como masa (to sedition) || G4640: Saltó. Jump, es decir, sympathetically mover (como quickening de fetus) || G2795: Mover. Stir (transitivamente), literal o figurativamente
gusto	10	G1089: Gustó. Gusto; por implicación, a comer; figurativamente, a experiencia (bueno o mal) || H35: Apetito. Provocative de deseo; caper berry (de su stimulative gusto) || H2441: Boca. Propiamente, palate o inside de boca; de aquí, boca sí mismo (como organ de habla, gusto y kissing)
caliente	10	G2200: Caliente. Boiled, es decir, (por implicación) calid (figurativamente, fervent) || G2204: Ferviente. Ser caliente (boil, de liquids; o resplandor, de solids), es decir, (figurativamente) ser fervid (earnest) || H2525: Tomamos caliente. Caliente
mesopotamia	9	G5488: Chârán. Charrhan (es decir, Charan), lugar en Mesopotamia || G3318: Mesopotamia (como lying entre Euphrates y Tigris; compárese 0763), región de Asia || H763: Mesopotamia. Aram de () dos rivers (Euphrates y Tigris) o Mesopotamia
soy	9	G1510: Soy. I exist (usado solo cuando enfático) || G4689: Si soy derramado. Derramar fuera como libación, es decir, (figurativamente) a devote (propio vida o sangre, como sacrificio) ("spend") || G4243: Soy embajador. Ser senior, es decir, (por implicación) acto como representative (figurativamente, preacher)
israel	9	G1429: Doce tribus. Commonwealth de Israel || G2474: Israel (es decir, Jisrael), adopted nombre de Jacob, incluido su descendientes (literal o figurativamente) || G2475: "Israelita", es decir, descendiente de Israel (literal o figurativamente)
moses	9	G3551: Ley. Ley (mediante la idea de prescriptive uso), genitivo caso (regulation), especialmente, (de Moses (incluido volume); también de Evangelio), o figurativamente (principio) || G2: Aarón. Aaron, hermano de Moses || G3475: Moisés. Moseus, Moses, o Mouses (es decir, Mosheh), Hebreo lawgiver
she	9	G2076: Son. He (she o ello) es; también (con neutro plural) they son || G3778: Éste. He (she o ello), es decir, este o que (menudo con artículo repetido) || H1072: Joven she-camel
will	9	G5355: Envidia. Mal-will (como detraction), es decir, jealousy (spite) || G2071: Seré. Will ser || G1014: Quiero. "will," es decir, (reflexivamente) ser willing
search	9	G2213: Cuestión. Search (propiamente en concreto), es decir, (en palabras) debate || G5584: Palpad. Manipulate, es decir, verify por contact; figurativamente, a search para || G1934: Pide. Search (inquire) para; intensivamente, a exigir, a crave
ala	9	G4439: Puerta. Puerta, es decir, leaf o ala de folding entrada (literal o figurativamente) || G4420: Alas. Ala || H1611: Alas. Ala
alma	9	G5590: Corazón. Aliento, es decir, (por implicación) espíritu, en abstracto o en concreto (animal sensible principio solo; así distinguido en uno mano de G4151 (πνεῦμα), el cual es racional y inmortal alma; y en otro desde… || G4561: Carne. Carne (como stripped de piel), es decir, (estrictamente) meat de animal (como comida), o (por extensión) cuerpo (como opposed a alma (o espíritu), o como símbolo de qué es externo, o como medio de kindred), o (… || G1271: Alma. Profundo pensamiento, propiamente, facultad (mente o su disposición), por implicación, su ejercer
ishmael	9	H110: Adbeel, hijo de Ishmael || H1904: Hagar, madre de Ishmael || H3195: Jetur, hijo de Ishmael
ascender	8	G424: Fuí. Ascender || G4320: Sube. Ascender farther, es decir, ser promoted (tomar superior (más honorable) asiento) || G4872: Habían subido. Ascender en compañía con
job	8	G2492: Job (es decir, Ijob), patriarca || H408: No (calificado negation, usado como deprecative); once (Job 24:25) como sustantivo, nada || H409: {no (calificado negation, usado como deprecative); once (Job 24:25) como sustantivo, nada}
macedonia	8	G3533: Nicópolis. Victorious ciudad; Nicopolis, lugar en Macedonia || G3496: Neápolis. Nuevo poblado; Neapolis, lugar en Macedonia || G624: Apolonia. De G622 (ἀπόλλυμι)); Apollonia, lugar en Macedonia
mesa	8	G2621: Mesa. Yacer abajo, es decir, (por implicación) ser enfermo; especialmente, a reclinarse en comida || G4873: Mesa. Reclinarse en compañía con (en comida) || G5132: Mesa. Table o stool (como siendo cuatro-legged), habitualmente para comida (figurativamente, comida); también counter para dinero (figurativamente, broker's oficio para loans en interés)
solomon	8	G4672: Salomón. Solomon (es decir, Shelomoh), hijo de David || H94: Agur, fanciful nombre para Solomon || H1315: Basemat. Bosmath, nombre de esposa de Esau, y de hija de Solomon
media	7	G2256: Por media. Mitad-hour || G3370: Medos. Median, o habitante de Media || G3317: Media noche. Midnight (especialmente como vigilar)
negatively	7	G820: Viles. (negatively) unhonoured o (positively) dishonoured || G1301: Guardaba. Vigilar a fondo, es decir, (positively y transitivamente) a observar estrictamente, o (negatively y reflexivamente) a avoid del todo || G459: Malos. Lawless, es decir, (negatively) no sujeto a (Judío) ley; (por implicación, Gentil), o (positively) malvado
jump	7	G242: Saltó. Jump; figurativamente, a brotar || G21: Gozóse. Propiamente, a jump para gozo, es decir, exult || G4640: Saltó. Jump, es decir, sympathetically mover (como quickening de fetus)
later	7	G5302: Faltó. Ser later, es decir, (por implicación) a ser inferior; en general, a caer corto (ser deficient) || G3798: Tarde. Late; femenino (como sustantivo) afternoon (temprano eve) o nightfall (later eve) || G5306: Venideros. Later
relations	7	G680: Tocó. Propiamente, a attach uno mismo to, es decir, a tocar (en muchos implícito relations) || G4750: Filo. Boca (como si gash en rostro); por implicación, lengua (y su relations); figurativamente, abertura (en tierra); especialmente, frente o filo (de weapon) || G5620: Para que. Así too, es decir, así por tanto (en varios relations de consecution, como seguir)
bit	7	G5589: Migajas. Pequeño bit o morsel || G2772: Dineros. Clipping (bit), es decir, (especialmente) moneda || G2801: Pedazos. Pieza (bit)
too	7	G1535: Ó. Si too || G3777: Sin. No too, es decir, ninguno o nor; por analogía, no aun || G3753: En el cual (cosa) too, es decir, cuando
argument	7	G3982: Confío. Convince (por argument, verdadero o falso); por analogía, a pacify o conciliate (por otro fair medio); reflexivamente o pasivamente, a asentimiento (to evidencia o autoridad), a rely (por inward certainty) || G1256: Disputó. Decir a fondo, es decir, discuss (en argument o exhortation) || G3794: Fortalezas. Castle (figurativamente, argument)
overflow	7	G5240: Rebosando. Derramar fuera sobre, es decir, (pasivamente) a overflow || G3632: Embriagueces. Overflow (o surplus) de vino, es decir, vinolency (drunkenness) || H1101: Amasado. Overflow (específicamente con aceite.); por implicación, a mix; a fodder
absolute	7	G1132: Desnudez. Nudity (absolute o comparativo) || G3756: Nunca. Absolute negativo (compárese G3361 (μή)) adverbio; no o no || G4434: Pobre. Afín a G4422 (πτοέω) y alternativo de G4098 (πίπτω)); beggar (como cringing), es decir, pauper (estrictamente denotando absolute o público mendicancy, aunque también usado en calificado o relativo sentido; mientras que G3993 (πένη…
relief	7	G1984: Obispado. Inspection (para relief); por implicación, superintendence; especialmente, Cristiano "episcopate" || G484: Ayudas. Relief || G425: Reposo. Relaxation o (figurativamente) relief
haughty	7	G5229: Enaltezca. Levantar uno mismo sobre, es decir, (figurativamente) a llegar ser haughty || G5244: Soberbios. Appearing encima de otros (conspicuo), es decir, (figurativamente) haughty || G5448: Hincha. Inflate, es decir, (figurativamente) hacer proud (haughty)
tenses	7	G4894: Sabiéndolo. Ver completamente; usado (como su primary) solo en dos pasado tenses, respectively significado a understand o llegar ser aware, y a ser conscious o (clandestinely) informed de || G1492: Vi. Usado solo en cierto pasado tenses, otros siendo borrowed de equivalent G3700 (ὀπτάνομαι) y G3708 (ὁράω); propiamente, a ver (literal o figurativamente); por implicación, (en perfecto tense solo) a conocer || G2068: Come. Usado solo en cierto tenses, reposo siendo supplied por G5315 (φάγω); a comer (habitualmente literal)
holy	7	G2665: Velo. Algo extender a fondo, es decir, (especialmente) puerta screen (to Más Holy Lugar) en Judío Templo || G2404: Hierápolis. Holy ciudad; Hierapolis, lugar en Asia Menor || G1124: Escritura. Document, es decir, holy Writ (o su contents o statement en ello)
persevere	7	G4357: Quedases. Quedarse además, es decir, permanecer en lugar, con persona; figurativamente, a adherirse to, persevere en || G5278: Sufridos. Quedarse bajo (detrás), es decir, permanecer; figurativamente, a undergo, es decir, llevar (trials), tener fortitude, persevere || G3887: Permanecer. Quedarse cerca, es decir, permanecer (literalmente, tarry; o figurativamente, ser permanente, persevere)
slander	7	G5587: Murmuraciones. Por implicación, slander; probablemente afín a G5574 (ψεύδομαι)); whispering, es decir, secreto detraction || G2635: Murmuran. Ser traducer, es decir, a slander || G3059: Maldecir. Slander o vituperation
refers	7	G4238: Hago. "practicar", es decir, perform repeatedly o habitually (así diferente de G4160 (ποιέω), el cual propiamente refers a solo acto); por implicación, a execute, cumplir, etc..; especialmente, a recoger (dues), fare (persona… || G2680: Fabricó. Preparar a fondo (propiamente, por externo equipment; mientras que G2090 (ἑτοιμάζω) refers más bien a internal fitness); por implicación, a construct, crear || G4190: Mal. Hurtful, es decir, mal (propiamente, en efecto o influencia, y así diferente de G2556 (κακός), el cual refers más bien a essential carácter, como bien como de G4550 (σαπρός), el cual indicates degeneracy de original virtud)…
crete	7	G5405: Fenice. Phœnix, lugar en Crete || G2568: Bueno Harbors, es decir, Fairhaven, bay de Crete || G2802: Clauda. Claude, isla cerca Crete
raised	7	G740: Pan. Pan (como raised) o loaf || G716: Carro. Carro (como raised o fitted junto (compárese G719 (ἁρμός))) || G2353: Ganados. Stock (como raised en farm)
scrape	7	G631: Sacudimos. Scrape lejos || H1639: Disminuirá. Scrape fuera; por implicación, a shave, quitar, lessen, withhold || H5502: Scrape fuera
boy	7	G3807: Ayo. Boy-dirigente, es decir, siervo cuyo oficio ello era a tomar hijos a school; (por implicación, (figurativamente) tutor ("pædagogue")) || G3808: Muchacho. Pequeño boy || G3815: Jugar. Sport (como boy)
period	7	G165: Siglo. Propiamente, edad; por extensión, perpetuity (también pasado); por implicación, world; especialmente (Judío) Messianic period (presente o futuro) || G5148: Por tres. Tres years' period (triennium) || G1074: Edades. Generation; por implicación, edad (period o personas)
bone	7	G4600: Mejilla. Jaw-bone, es decir, (por implicación) cheek o lado de rostro || G3747: Hueso. Bone || H1633: Dejan. (causativo) a bone, es decir, denude (por extensive, craunch) bones
urge	7	G3951: Concitaron. Urge a lo largo de, es decir, stimulate (to hostility) || G4692: Apriesa. "speed" ("study"), es decir, urge en (diligently o ardientemente); por implicación, a esperar eagerly || G3729: Cayó. Start, spur o urge en, es decir, (reflexivamente) a golpe o plunge
presto	7	G4289: Presto. Adelante en espíritu, es decir, predisposed; neutro (como sustantivo) alacrity || G4708: Más presto. Más speedily, es decir, sooner que de otro modo || G5032: Presto. Más swiftly, es decir, (en manera) más rápidamente, o (en tiempo) más speedily
relating	7	G4262: Oveja. Relating a oveja, es decir, (puerta) través de el cual they eran led hacia Jerusalén || G982: Esta vida. Relating a presente existencia || G3193: Panal. Relating a miel, es decir, bee (comb)
they	7	G4262: Oveja. Relating a oveja, es decir, (puerta) través de el cual they eran led hacia Jerusalén || G2076: Son. He (she o ello) es; también (con neutro plural) they son || G1526: Son. They son
acquire	7	G2932: Se gane. Get, es decir, acquire (por cualquier medio; propio) || G4333: Ha ganado. Obra además, es decir, (por implicación) acquire además || G4046: Ganó. Hacer alrededor uno mismo, es decir, acquire (buy)
wise	7	G5386: Filósofos. Aficionado de wise cosas, es decir, a "philosopher" || G3979: Pie. Pie-wise, es decir, por caminar || G4679: Por arte. Representar wise; en sinister acceptation, a forma "sophisms", es decir, continuar plausible error
booty	7	G205: Despojos. Propiamente (en plural) cima de montón, es decir, (por implicación) mejor de booty || G4661: Despojos. Algo stripped (como esconder), es decir, booty || G4812: Llevar lejos como booty, es decir, (figurativamente) seduce
breaking	7	G2646: Mesón. Propiamente, dissolution (breaking arriba de viaje), es decir, (por implicación) lodging-lugar || H3220: Mar (como breaking en noisy surf) o grande cuerpo de agua; específicamente (con artículo), Mediterráneo Mar; veces grande río, o artifical basin; locally, occidente, o (raramente) sur || H3221: {mar (como breaking en noisy surf) o grande cuerpo de agua; específicamente (con artículo), Mediterráneo Mar; veces grande río, o artifical basin; locally, occidente, o (raramente) sur}
pot	7	G2823: Horno. Earthen pot usado para baking en || H254: Brasero. Fuego-pot o chafing dish || H1731: Cesta. Pot (para boiling); también (por semejanza de forma) basket
vigor	7	G2904: Poder. Vigor ("grande") (literal o figurativamente) || G2901: Esforzaos. Empower, es decir, (pasivamente) aumentar en vigor || H2504: Lomos. Loins (como asiento de vigor)
decree	7	G3724: Ha puesto. Marca fuera o atado ("horizon"), es decir, (figurativamente) a designar, decree, specify || G2307: Quiero. Determination (propiamente, cosa), es decir, (activamente) choice (especialmente, propósito, decree; en abstracto, volition) o (pasivamente) inclination || G2003: Autoridad. Injunction o decree; por implicación, authoritativeness
fodder	7	G1006: Pastores. Pasto; por extensión to, fodder; reflexivamente, a graze || G5526: Hartar. Fodder, es decir, (en general) a gorge (proveer comida en abundancia) || G5336: Pesebre. Crib (para fodder)
guide	7	G4313: Irás. Precede (como guide o heraldo) || G2519: Señor. Guide, es decir, (figurativamente) maestro || G5496: Llevado de la mano. Ser mano-dirigente, es decir, a guide (blind persona)
cargo	7	G5414: Cargazón. Algo carried, es decir, cargo de barco || G1117: Carga. Carga (como filling), es decir, (especialmente) cargo, o (por extensión) wares || G1546: Ejection, es decir, (especialmente) throwing overboard de cargo
foolish	7	G3154: Se desvanecieron. Representar (pasivamente, llegar ser) foolish, es decir, (moralmente) malvado o (especialmente), idólatra || G1133: Mujercillas. Pequeño (es decir, foolish) mujer || H196: Necio, foolish; de aquí (moralmente) impious
exist	7	G1510: Soy. I exist (usado solo cuando enfático) || G1511: Ser. Exist || G5225: Había. Comenzar bajo (quietly), es decir, venir hacia existencia (ser presente o en mano); expletively, a exist (como copula o subordinate a adjetivo, participio, adverbio o preposición, o como auxiliary a principal (verbo)
domestic	7	G563: Que sin impedimento. Undistractedly, es decir, libre de (domestic) solicitude || G3610: Siervo. Compañero resident, es decir, menial domestic || G2012: Tutores. Comisionado, es decir, domestic manager, guardian
merely	7	G3440: Sólo. Merely || G202: Oidor. Al parecer intensivo de G191 (ἀκούω)); hearer (merely) || G3700: Verá. Gaze (es decir, con amplio-abierto ojos, como en algo remarkable; y así diferente de G991 (βλέπω), el cual denota simplemente voluntario observation; y de G1492 (εἴδω), el cual expresses merely mechanical, pasivo o cas…
inspect	7	G1980: Visitó. Inspect, es decir, (por implicación) a escoger; por extensión, a ir a ver, relieve || G3906: Guardáis. Inspect junto a, es decir, nota insidiously o scrupulously || G2029: Estimándoos. Inspect, es decir, vigilar
relieve	7	G1980: Visitó. Inspect, es decir, (por implicación) a escoger; por extensión, a ir a ver, relieve || G3008: Ministrando. Ser público siervo, es decir, (por analogía) a perform religiosa o charitable functions (adoración, obey, relieve) || G2323: Sanó. Esperar sobre menially, es decir, (figurativamente) a adore (Dios), o (especialmente) a relieve (de enfermedad)
shining	7	G5081: Claramente. En lejos-shining manera, es decir, plainly || G5318: Luz. Shining, es decir, apparent (literal o figurativamente); neutro (como adverbio) publicly, externally || H925: Esplendente. Shining
